,tweet_id,retweet_count,favorite_count,followers_count
343,819238181065359361,383,2153,9228927
344,819227688460238848,6285,21945,9228927
345,819006400881917954,17907,43319,9228927
346,819004803107983360,34792,83240,9228927
347,818627210458333184,7104,21387,9228927
348,818614493328580609,2365,9377,9228927
349,818536468981415936,2291,10345,9228927
350,818259473185828864,2104,10480,9228927
351,818145370475810820,2386,11687,9228927
352,817908911860748288,744,4638,9228927
353,817827839487737858,25300,48953,9228927
354,817777686764523521,2537,10285,9228927
355,817536400337801217,2748,11202,9228927
356,817423860136083457,13691,32075,9228927
357,817415592588222464,895,5336,9228927
358,817171292965273600,1883,8364,9228927
359,817120970343411712,2428,11624,9228927
360,817056546584727552,1533,8189,9228927
361,816816676327063552,1898,9556,9228927
362,816697700272001025,2068,9322,9228927
363,816450570814898180,7514,28898,9228927
364,816336735214911488,1813,8220,9228927
365,816091915477250048,1997,8538,9228927
366,815990720817401858,948,4719,9228927
367,815966073409433600,7930,21302,9228927
368,815736392542261248,2133,9380,9228927
369,815639385530101762,1565,7874,9228927
370,815390420867969024,3595,9897,9228927
371,814986499976527872,1198,7314,9228927
372,814638523311648768,2541,10764,9228927
373,814530161257443328,1750,8259,9228927
374,814153002265309185,8153,27459,9228927
375,813910438903693312,1745,8920,9228927
376,813812741911748608,13128,34884,9228928
377,813800681631023104,1662,7939,9228928
